ubs_referencia,localizacao_ubs,link_map_ubs,Microarea,Endereco_Completo
Antônio Carlos Leite Franco,"R. Lindóia - Santo Inácio, Nossa Sra. do Socorro - SE, 49161-079","https://www.google.com/maps/place/UBS+Ant%C3%B4nio+Carlos+Leite+Franco/@-10.915407,-37.1617141,17z/data=!4m14!1m7!3m6!1s0x71aadb041d44cfd:0xace005277ed545ad!2sUBS+Ant%C3%B4nio+Carlos+Leite+Franco!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!3m5!1s0x71aadb041d44cfd:0xace005277ed545ad!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Região Central do Pai André, Santo Inácio, Nossa Senhora do Socorro - SE"
Antônio Carlos Leite Franco,"R. Lindóia - Santo Inácio, Nossa Sra. do Socorro - SE, 49161-079","https://www.google.com/maps/place/UBS+Ant%C3%B4nio+Carlos+Leite+Franco/@-10.915407,-37.1617141,17z/data=!4m14!1m7!3m6!1s0x71aadb041d44cfd:0xace005277ed545ad!2sUBS+Ant%C3%B4nio+Carlos+Leite+Franco!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!3m5!1s0x71aadb041d44cfd:0xace005277ed545ad!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua Carlos Menezes, Santo Inácio, Nossa Senhora do Socorro - SE"
Antônio Carlos Leite Franco,"R. Lindóia - Santo Inácio, Nossa Sra. do Socorro - SE, 49161-079","https://www.google.com/maps/place/UBS+Ant%C3%B4nio+Carlos+Leite+Franco/@-10.915407,-37.1617141,17z/data=!4m14!1m7!3m6!1s0x71aadb041d44cfd:0xace005277ed545ad!2sUBS+Ant%C3%B4nio+Carlos+Leite+Franco!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!3m5!1s0x71aadb041d44cfd:0xace005277ed545ad!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua Prof. Antônio Aires, Santo Inácio, Nossa Senhora do Socorro - SE"
Antônio Carlos Leite Franco,"R. Lindóia - Santo Inácio, Nossa Sra. do Socorro - SE, 49161-079","https://www.google.com/maps/place/UBS+Ant%C3%B4nio+Carlos+Leite+Franco/@-10.915407,-37.1617141,17z/data=!4m14!1m7!3m6!1s0x71aadb041d44cfd:0xace005277ed545ad!2sUBS+Ant%C3%B4nio+Carlos+Leite+Franco!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!3m5!1s0x71aadb041d44cfd:0xace005277ed545ad!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua Tobias Barreto, Santo Inácio, Nossa Senhora do Socorro - SE"
Antônio Carlos Leite Franco,"R. Lindóia - Santo Inácio, Nossa Sra. do Socorro - SE, 49161-079","https://www.google.com/maps/place/UBS+Ant%C3%B4nio+Carlos+Leite+Franco/@-10.915407,-37.1617141,17z/data=!4m14!1m7!3m6!1s0x71aadb041d44cfd:0xace005277ed545ad!2sUBS+Ant%C3%B4nio+Carlos+Leite+Franco!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!3m5!1s0x71aadb041d44cfd:0xace005277ed545ad!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua Marcílio Dias, Santo Inácio, Nossa Senhora do Socorro - SE"
Antônio Carlos Leite Franco,"R. Lindóia - Santo Inácio, Nossa Sra. do Socorro - SE, 49161-079","https://www.google.com/maps/place/UBS+Ant%C3%B4nio+Carlos+Leite+Franco/@-10.915407,-37.1617141,17z/data=!4m14!1m7!3m6!1s0x71aadb041d44cfd:0xace005277ed545ad!2sUBS+Ant%C3%B4nio+Carlos+Leite+Franco!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!3m5!1s0x71aadb041d44cfd:0xace005277ed545ad!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua Ana Nery, Santo Inácio, Nossa Senhora do Socorro - SE"
Antônio Carlos Leite Franco,"R. Lindóia - Santo Inácio, Nossa Sra. do Socorro - SE, 49161-079","https://www.google.com/maps/place/UBS+Ant%C3%B4nio+Carlos+Leite+Franco/@-10.915407,-37.1617141,17z/data=!4m14!1m7!3m6!1s0x71aadb041d44cfd:0xace005277ed545ad!2sUBS+Ant%C3%B4nio+Carlos+Leite+Franco!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!3m5!1s0x71aadb041d44cfd:0xace005277ed545ad!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua Presidente Costa e Silva, Santo Inácio, Nossa Senhora do Socorro - SE"
Antônio Carlos Leite Franco,"R. Lindóia - Santo Inácio, Nossa Sra. do Socorro - SE, 49161-079","https://www.google.com/maps/place/UBS+Ant%C3%B4nio+Carlos+Leite+Franco/@-10.915407,-37.1617141,17z/data=!4m14!1m7!3m6!1s0x71aadb041d44cfd:0xace005277ed545ad!2sUBS+Ant%C3%B4nio+Carlos+Leite+Franco!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!3m5!1s0x71aadb041d44cfd:0xace005277ed545ad!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua Presidente Castelo Branco, Santo Inácio, Nossa Senhora do Socorro - SE"
Antônio Carlos Leite Franco,"R. Lindóia - Santo Inácio, Nossa Sra. do Socorro - SE, 49161-079","https://www.google.com/maps/place/UBS+Ant%C3%B4nio+Carlos+Leite+Franco/@-10.915407,-37.1617141,17z/data=!4m14!1m7!3m6!1s0x71aadb041d44cfd:0xace005277ed545ad!2sUBS+Ant%C3%B4nio+Carlos+Leite+Franco!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!3m5!1s0x71aadb041d44cfd:0xace005277ed545ad!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua Presidente Ernesto Geisel, Santo Inácio, Nossa Senhora do Socorro - SE"
Antônio Carlos Leite Franco,"R. Lindóia - Santo Inácio, Nossa Sra. do Socorro - SE, 49161-079","https://www.google.com/maps/place/UBS+Ant%C3%B4nio+Carlos+Leite+Franco/@-10.915407,-37.1617141,17z/data=!4m14!1m7!3m6!1s0x71aadb041d44cfd:0xace005277ed545ad!2sUBS+Ant%C3%B4nio+Carlos+Leite+Franco!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!3m5!1s0x71aadb041d44cfd:0xace005277ed545ad!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua Carlos Gomes, Santo Inácio, Nossa Senhora do Socorro - SE"
Antônio Carlos Leite Franco,"R. Lindóia - Santo Inácio, Nossa Sra. do Socorro - SE, 49161-079","https://www.google.com/maps/place/UBS+Ant%C3%B4nio+Carlos+Leite+Franco/@-10.915407,-37.1617141,17z/data=!4m14!1m7!3m6!1s0x71aadb041d44cfd:0xace005277ed545ad!2sUBS+Ant%C3%B4nio+Carlos+Leite+Franco!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!3m5!1s0x71aadb041d44cfd:0xace005277ed545ad!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua Silvio Romero, Santo Inácio, Nossa Senhora do Socorro - SE"
Antônio Carlos Leite Franco,"R. Lindóia - Santo Inácio, Nossa Sra. do Socorro - SE, 49161-079","https://www.google.com/maps/place/UBS+Ant%C3%B4nio+Carlos+Leite+Franco/@-10.915407,-37.1617141,17z/data=!4m14!1m7!3m6!1s0x71aadb041d44cfd:0xace005277ed545ad!2sUBS+Ant%C3%B4nio+Carlos+Leite+Franco!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!3m5!1s0x71aadb041d44cfd:0xace005277ed545ad!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua Hermes Fontes, Santo Inácio, Nossa Senhora do Socorro - SE"
Antônio Carlos Leite Franco,"R. Lindóia - Santo Inácio, Nossa Sra. do Socorro - SE, 49161-079","https://www.google.com/maps/place/UBS+Ant%C3%B4nio+Carlos+Leite+Franco/@-10.915407,-37.1617141,17z/data=!4m14!1m7!3m6!1s0x71aadb041d44cfd:0xace005277ed545ad!2sUBS+Ant%C3%B4nio+Carlos+Leite+Franco!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!3m5!1s0x71aadb041d44cfd:0xace005277ed545ad!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua São Pedro, Santo Inácio, Nossa Senhora do Socorro - SE"
Antônio Carlos Leite Franco,"R. Lindóia - Santo Inácio, Nossa Sra. do Socorro - SE, 49161-079","https://www.google.com/maps/place/UBS+Ant%C3%B4nio+Carlos+Leite+Franco/@-10.915407,-37.1617141,17z/data=!4m14!1m7!3m6!1s0x71aadb041d44cfd:0xace005277ed545ad!2sUBS+Ant%C3%B4nio+Carlos+Leite+Franco!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!3m5!1s0x71aadb041d44cfd:0xace005277ed545ad!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua Guarani, Santo Inácio, Nossa Senhora do Socorro - SE"
Antônio Carlos Leite Franco,"R. Lindóia - Santo Inácio, Nossa Sra. do Socorro - SE, 49161-079","https://www.google.com/maps/place/UBS+Ant%C3%B4nio+Carlos+Leite+Franco/@-10.915407,-37.1617141,17z/data=!4m14!1m7!3m6!1s0x71aadb041d44cfd:0xace005277ed545ad!2sUBS+Ant%C3%B4nio+Carlos+Leite+Franco!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!3m5!1s0x71aadb041d44cfd:0xace005277ed545ad!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua Fluminense, Santo Inácio, Nossa Senhora do Socorro - SE"
Antônio Carlos Leite Franco,"R. Lindóia - Santo Inácio, Nossa Sra. do Socorro - SE, 49161-079","https://www.google.com/maps/place/UBS+Ant%C3%B4nio+Carlos+Leite+Franco/@-10.915407,-37.1617141,17z/data=!4m14!1m7!3m6!1s0x71aadb041d44cfd:0xace005277ed545ad!2sUBS+Ant%C3%B4nio+Carlos+Leite+Franco!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!3m5!1s0x71aadb041d44cfd:0xace005277ed545ad!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua das Casas da Caixa Econômica, Santo Inácio, Nossa Senhora do Socorro - SE"
Antônio Carlos Leite Franco,"R. Lindóia - Santo Inácio, Nossa Sra. do Socorro - SE, 49161-079","https://www.google.com/maps/place/UBS+Ant%C3%B4nio+Carlos+Leite+Franco/@-10.915407,-37.1617141,17z/data=!4m14!1m7!3m6!1s0x71aadb041d44cfd:0xace005277ed545ad!2sUBS+Ant%C3%B4nio+Carlos+Leite+Franco!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!3m5!1s0x71aadb041d44cfd:0xace005277ed545ad!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2,"Rua Manuel Antonio Santos, Santo Inácio, Nossa Senhora do Socorro - SE"
Antônio Carlos Leite Franco,"R. Lindóia - Santo Inácio, Nossa Sra. do Socorro - SE, 49161-079","https://www.google.com/maps/place/UBS+Ant%C3%B4nio+Carlos+Leite+Franco/@-10.915407,-37.1617141,17z/data=!4m14!1m7!3m6!1s0x71aadb041d44cfd:0xace005277ed545ad!2sUBS+Ant%C3%B4nio+Carlos+Leite+Franco!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!3m5!1s0x71aadb041d44cfd:0xace005277ed545ad!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2,"Rua Santa Terezinha, Santo Inácio, Nossa Senhora do Socorro - SE"
Antônio Carlos Leite Franco,"R. Lindóia - Santo Inácio, Nossa Sra. do Socorro - SE, 49161-079","https://www.google.com/maps/place/UBS+Ant%C3%B4nio+Carlos+Leite+Franco/@-10.915407,-37.1617141,17z/data=!4m14!1m7!3m6!1s0x71aadb041d44cfd:0xace005277ed545ad!2sUBS+Ant%C3%B4nio+Carlos+Leite+Franco!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!3m5!1s0x71aadb041d44cfd:0xace005277ed545ad!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2,"Rua São Jorge, Santo Inácio, Nossa Senhora do Socorro - SE"
Antônio Carlos Leite Franco,"R. Lindóia - Santo Inácio, Nossa Sra. do Socorro - SE, 49161-079","https://www.google.com/maps/place/UBS+Ant%C3%B4nio+Carlos+Leite+Franco/@-10.915407,-37.1617141,17z/data=!4m14!1m7!3m6!1s0x71aadb041d44cfd:0xace005277ed545ad!2sUBS+Ant%C3%B4nio+Carlos+Leite+Franco!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!3m5!1s0x71aadb041d44cfd:0xace005277ed545ad!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2,"Rua Santa Catarina, Santo Inácio, Nossa Senhora do Socorro - SE"
Antônio Carlos Leite Franco,"R. Lindóia - Santo Inácio, Nossa Sra. do Socorro - SE, 49161-079","https://www.google.com/maps/place/UBS+Ant%C3%B4nio+Carlos+Leite+Franco/@-10.915407,-37.1617141,17z/data=!4m14!1m7!3m6!1s0x71aadb041d44cfd:0xace005277ed545ad!2sUBS+Ant%C3%B4nio+Carlos+Leite+Franco!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!3m5!1s0x71aadb041d44cfd:0xace005277ed545ad!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2,"Travessa São Jorge, Santo Inácio, Nossa Senhora do Socorro - SE"
Antônio Carlos Leite Franco,"R. Lindóia - Santo Inácio, Nossa Sra. do Socorro - SE, 49161-079","https://www.google.com/maps/place/UBS+Ant%C3%B4nio+Carlos+Leite+Franco/@-10.915407,-37.1617141,17z/data=!4m14!1m7!3m6!1s0x71aadb041d44cfd:0xace005277ed545ad!2sUBS+Ant%C3%B4nio+Carlos+Leite+Franco!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!3m5!1s0x71aadb041d44cfd:0xace005277ed545ad!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2,"Travessa Santa Catarina, Santo Inácio, Nossa Senhora do Socorro - SE"
Antônio Carlos Leite Franco,"R. Lindóia - Santo Inácio, Nossa Sra. do Socorro - SE, 49161-079","https://www.google.com/maps/place/UBS+Ant%C3%B4nio+Carlos+Leite+Franco/@-10.915407,-37.1617141,17z/data=!4m14!1m7!3m6!1s0x71aadb041d44cfd:0xace005277ed545ad!2sUBS+Ant%C3%B4nio+Carlos+Leite+Franco!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!3m5!1s0x71aadb041d44cfd:0xace005277ed545ad!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2,"Rua José Liberato de Souza, Santo Inácio, Nossa Senhora do Socorro - SE"
Antônio Carlos Leite Franco,"R. Lindóia - Santo Inácio, Nossa Sra. do Socorro - SE, 49161-079","https://www.google.com/maps/place/UBS+Ant%C3%B4nio+Carlos+Leite+Franco/@-10.915407,-37.1617141,17z/data=!4m14!1m7!3m6!1s0x71aadb041d44cfd:0xace005277ed545ad!2sUBS+Ant%C3%B4nio+Carlos+Leite+Franco!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!3m5!1s0x71aadb041d44cfd:0xace005277ed545ad!8m2!3d-10.9155377!4d-37.1594106!16s%2Fg%2F11k4k3ns7z!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2,"Rua Hermes Fontes, Santo Inácio, Nossa Senhora do Socorro - SE"
